customer_id,gender,age,education_level,marital_status,dependents,income,credit_limit,tenure_months,relationship_duration_years,avg_monthly_spend,monthly_balance,credit_utilization,transaction_count,cash_advance_count,card_category,late_payment_count,missed_payment_flag,last_payment_amount,online_services_used,reward_points,risk_score,churn
CUST00001,Male,27,Associate,Married,2,45914.0,13900.0,34,2.0,630.0,3186.0,0.2292,41,1,Business,1,0,2946.0,7,8938.0,300.0,0
CUST00002,Female,31,Associate,Married,3,43534.0,8900.0,25,1.4,789.0,2516.0,0.2827,33,3,Standard,1,0,930.0,6,8241.0,311.0,0
CUST00003,Female,49,Associate,Married,2,49836.0,7800.0,13,1.1,942.0,2229.0,0.2858,34,1,Business,2,0,1069.0,5,5108.0,316.4,0
CUST00004,Female,30,High School,Single,1,28599.0,6700.0,134,10.7,171.0,1738.0,0.2594,36,1,Standard,2,0,885.0,2,9699.0,337.1,0
CUST00005,Male,58,High School,Single,0,36715.0,7800.0,34,1.9,635.0,1838.0,0.2356,44,0,Standard,1,0,1282.0,0,9047.0,300.0,0
CUST00006,Male,44,Associate,Single,4,48443.0,12500.0,78,5.2,859.0,2892.0,0.2314,31,1,Business,2,0,621.0,7,28253.0,300.0,0
CUST00007,Male,46,Bachelor,Divorced,1,59566.0,9600.0,13,0.6,800.0,3392.0,0.3533,39,4,Business,1,0,3161.0,6,4361.0,311.3,0
CUST00008,Female,41,Master,Divorced,1,91498.0,11800.0,50,3.6,1003.0,1095.0,0.0928,24,1,Business,0,0,119.0,6,20896.0,319.1,0
CUST00009,Female,54,High School,Married,0,25399.0,5700.0,6,0.5,100.0,565.0,0.0991,38,2,Standard,1,0,662.0,1,262.0,331.7,1
CUST00010,Female,54,Associate,Married,0,53214.0,8400.0,40,2.4,142.0,2688.0,0.32,33,1,Business,2,0,799.0,3,2318.0,306.7,0
CUST00011,Male,49,High School,Married,0,31219.0,4900.0,49,2.2,442.0,1914.0,0.3906,30,0,Standard,0,0,672.0,3,9017.0,300.0,0
CUST00012,Female,51,Master,Divorced,0,88758.0,23600.0,11,0.7,863.0,12951.0,0.5488,32,2,Gold,1,0,8235.0,2,4015.0,323.0,0
CUST00013,Female,42,Master,Married,2,79811.0,14300.0,225,9.9,647.0,2918.0,0.2041,34,1,Business,2,0,1326.0,3,61194.0,300.0,0
CUST00014,Male,51,Bachelor,Divorced,0,55359.0,16600.0,24,1.8,265.0,4461.0,0.2687,28,0,Business,0,0,938.0,2,2648.0,308.8,0
CUST00015,Male,40,Associate,Married,1,46446.0,10800.0,16,1.1,983.0,4527.0,0.4192,32,1,Business,1,0,1336.0,5,6542.0,300.0,0
CUST00016,Male,45,Bachelor,Married,0,65886.0,16600.0,7,0.5,405.0,8569.0,0.5162,37,1,Business,0,0,2083.0,3,1149.0,300.0,0
CUST00017,Male,41,Associate,Divorced,1,50155.0,9600.0,6,0.5,789.0,6854.0,0.714,28,0,Business,3,0,3104.0,3,1932.0,346.7,0
CUST00018,Female,39,High School,Single,0,25000.0,4300.0,8,0.5,100.0,1599.0,0.3719,38,2,Standard,1,0,1659.0,7,337.0,339.5,1
CUST00019,Male,36,Bachelor,Married,1,71954.0,11400.0,27,2.2,1126.0,2566.0,0.2251,39,0,Business,1,0,947.0,7,12675.0,304.4,0
CUST00020,Male,50,Master,Married,3,88212.0,24000.0,27,2.1,1373.0,10610.0,0.4421,36,3,Gold,1,0,7675.0,3,15256.0,316.7,0
CUST00021,Female,60,High School,Divorced,0,39540.0,10600.0,27,1.2,815.0,1072.0,0.1011,41,1,Business,2,0,121.0,2,9297.0,308.7,0
CUST00022,Male,59,Bachelor,Married,3,62335.0,14200.0,70,5.4,894.0,703.0,0.0495,37,2,Business,3,0,548.0,3,25673.0,315.7,0
CUST00023,Male,29,Associate,Married,1,49860.0,14300.0,6,0.5,150.0,10959.0,0.7664,30,0,Business,5,1,1372.0,7,380.0,350.5,1
CUST00024,Male,60,High School,Divorced,0,37949.0,11100.0,11,0.7,822.0,4062.0,0.3659,42,1,Business,4,1,1275.0,6,3892.0,344.0,0
CUST00025,Male,41,Associate,Divorced,1,46702.0,10100.0,78,6.2,209.0,3357.0,0.3324,43,0,Business,1,0,3516.0,7,6773.0,315.8,0
CUST00026,Female,52,Bachelor,Single,1,56086.0,14600.0,6,0.5,409.0,3401.0,0.2329,29,1,Business,3,0,2395.0,3,999.0,339.5,0
CUST00027,Male,34,Associate,Married,1,53254.0,16800.0,7,0.5,925.0,4891.0,0.2911,32,2,Business,2,0,3228.0,3,2758.0,309.7,0
CUST00028,Male,46,Bachelor,Divorced,1,71349.0,10100.0,14,0.9,1181.0,2817.0,0.2789,38,0,Business,0,0,1118.0,2,6855.0,315.0,0
CUST00029,Female,48,Associate,Single,0,53347.0,6800.0,60,4.8,903.0,2516.0,0.37,44,2,Business,2,0,1738.0,3,22571.0,302.5,0
CUST00030,Male,27,Bachelor,Married,4,70136.0,15700.0,31,2.0,764.0,3665.0,0.2334,30,1,Business,0,0,683.0,6,9699.0,300.0,0
CUST00031,Female,52,Master,Single,0,78168.0,15200.0,29,1.4,792.0,2834.0,0.1864,32,1,Business,0,0,1347.0,2,9632.0,341.8,0
CUST00032,Male,61,Bachelor,Married,0,55319.0,7900.0,93,5.6,790.0,1393.0,0.1763,30,1,Business,0,0,704.0,7,30606.0,300.0,0
CUST00033,Male,42,Associate,Married,0,42849.0,6700.0,24,1.1,341.0,110.0,0.0164,37,0,Standard,3,0,34.0,4,3415.0,331.5,0
CUST00034,Female,61,Associate,Married,0,45625.0,8200.0,105,6.9,294.0,1678.0,0.2046,43,0,Standard,1,0,629.0,3,5221.0,300.0,0
CUST00035,Female,42,High School,Married,0,25000.0,3600.0,6,0.5,142.0,676.0,0.1878,40,0,Standard,0,0,712.0,2,359.0,335.8,1
CUST00036,Female,55,High School,Married,0,47912.0,7600.0,18,1.2,403.0,2514.0,0.3308,32,1,Standard,1,0,496.0,1,3024.0,300.7,0
CUST00037,Male,18,High School,Single,1,38301.0,5800.0,62,0.5,783.0,4078.0,0.7031,34,4,Standard,7,1,3968.0,8,20007.0,368.8,0
CUST00038,Male,74,Associate,Married,0,48069.0,12300.0,6,0.5,1009.0,975.0,0.0793,31,0,Business,0,0,185.0,3,2451.0,304.8,0
